1-Methyladenosine_pos-001,Carnitine-C18_pos-051,Guanidineacetic acid_pos-087,Hypoxanthine_pos-096,NMN_pos-162,Succinate_neg-079,state
0.00092673,6.1811E-05,0.000367502,0.002448289,7.51387E-06,0.000745958,0
0.001000223,5.21487E-05,0.000392016,0.000883905,9.73897E-07,0.000869447,0
0.000809321,5.95712E-05,0.000356443,9.06681E-05,5.12647E-06,0.000935503,0
0.000796388,9.09673E-05,0.00049209,0.000107641,8.53361E-06,0.00073162,0
0.000707333,3.2981E-05,0.000255899,0.001742332,1.04358E-05,0.000539095,0
0.000801568,6.40944E-05,0.000504244,0.001010498,1.2822E-05,0.000750556,0
0.000759155,4.35514E-05,0.000469786,0.000127338,2.45076E-06,0.000677065,0
0.000844973,5.03452E-05,0.000580105,0.002508813,8.9935E-06,0.000622195,0
0.000884239,0.000110048,0.000370347,0.000149875,7.40993E-06,0.000616081,0
0.000698452,3.3833E-05,0.000494318,0.000781353,5.42933E-06,0.00056937,0
0.000627483,7.18004E-05,0.000434151,0.000118893,5.56585E-06,0.000783895,0
0.000760318,3.26341E-05,0.000223624,0.000502623,8.81596E-06,0.000589585,0
0.000769937,7.9188E-05,0.000493141,0.002173623,9.54527E-06,0.000714758,0
0.000772851,2.88273E-05,0.000509167,0.000124128,6.44753E-06,0.000594576,0
0.000900299,4.11539E-05,0.000218554,0.001284279,3.98677E-06,0.000644954,0
0.000883515,2.37606E-05,0.000458183,0.001980335,3.40031E-06,0.00065054,0
0.000741354,7.82293E-05,0.000286982,0.000208121,9.83896E-06,0.000694683,0
0.000912234,5.3544E-05,0.000372676,0.002486571,1.60016E-05,0.000743268,0
0.000920976,7.68624E-05,0.00029003,0.000175332,5.59925E-06,0.000551145,0
0.00093004,0.000103701,0.000615153,0.005253194,5.03587E-06,0.000537313,0
0.000874711,5.98916E-05,0.000399151,0.002356612,1.12732E-05,0.000780124,0
0.000674337,2.47675E-05,0.000255617,0.001534361,1.02499E-05,0.000439541,0
0.000814847,5.29365E-05,0.000390181,0.003139725,5.18554E-06,0.000801874,0
0.000782712,5.62381E-05,0.00035275,0.001196715,1.63939E-05,0.000644671,0
0.000731308,0.000142257,0.000812332,0.003733544,8.55412E-06,0.000838127,0
0.000964626,4.37886E-05,0.000680842,0.006849537,2.03925E-05,0.00078372,0
0.000848485,0.000143258,0.000503293,0.004813531,5.50575E-06,0.001046383,0
0.001007387,6.70763E-05,0.000380516,0.000948396,7.91768E-06,0.000857334,0
0.001115839,8.41536E-05,0.000219074,0.003603484,2.09184E-06,0.000667466,0
0.000724879,4.27123E-05,0.000369245,0.000855955,1.77285E-05,0.000747713,0
0.000851453,2.47739E-05,0.00033989,0.00206676,1.20661E-05,0.000693818,0
0.00084153,4.55574E-05,0.000333571,0.001202929,4.45316E-06,0.00071538,0
0.000757037,9.88654E-05,0.000307777,0.003008887,1.71158E-05,0.000673041,0
0.000727319,6.28308E-05,0.000347943,0.003248026,5.71923E-06,0.000684825,0
0.001019706,4.14762E-05,0.000495764,0.001470454,1.08827E-05,0.000656718,0
0.000981794,2.70961E-05,0.00047687,0.000571661,7.71284E-06,0.000601109,0
0.000808859,4.53386E-05,0.000419785,0.000173195,6.77045E-06,0.001084733,0
0.001075789,4.36834E-05,0.000609543,0.002491448,8.10921E-06,0.000661204,0
0.001077564,0.000101926,0.000565476,0.001193968,1.27803E-06,0.000623962,0
0.000930516,9.4492E-05,0.000489276,0.001693871,1.13073E-06,0.000682367,0
0.000622973,4.17598E-05,0.000470437,0.000101952,8.72805E-06,0.00065493,0
0.000738091,9.89297E-05,0.000447231,0.000150795,2.78314E-06,0.000630312,0
0.000744572,6.37918E-05,0.000273755,0.001008786,6.21935E-06,0.000517149,0
0.00088841,4.25739E-05,0.000315852,0.001854562,4.785E-06,0.00075263,0
