1-Methyladenosine_pos-001,Guanidineacetic acid_pos-087,NMN_pos-162,Uridine_neg-088,Hypoxanthine_pos-096,Succinate_neg-079,Carnitine-C18_pos-051,Serotonin_pos-142,N-Acetyl-D-glucosamine 6-phosphate_neg-061,Neopterin_pos-117,2-Aminooctanoic acid_pos-006,Pyroglutamic acid_neg-072,S-Adenosyl-methionine_pos-139,Lactic acid_neg-055,state
0.000681659,0.000368142,6.72333E-06,0.000633761,0.000649637,0.000539947,8.50311E-05,8.01328E-05,0.000110759,3.38877E-05,5.7923E-05,0.000281126,0.000534902,0.020360116,0
0.000888676,0.000529068,6.6071E-06,0.000737409,0.001929893,0.000831681,9.39157E-05,3.87012E-05,6.82088E-05,3.58271E-05,0.000132323,0.000384248,0.00049608,0.024064343,0
0.00084859,0.000267267,5.67957E-06,0.000618597,0.000121204,0.00063709,4.72069E-05,8.76195E-05,0.000145509,4.13399E-05,5.1064E-05,0.000320355,0.000470338,0.024830332,0
0.00087326,0.000312817,1.19862E-06,0.000581161,0.000862103,0.000570477,7.14275E-05,7.35103E-05,0.000149948,4.33185E-05,2.74121E-05,0.000253501,0.000389451,0.019722816,0
0.000839483,0.00041509,8.05273E-06,0.000592185,0.001430368,0.000881949,3.92131E-05,4.77386E-05,0.000121176,6.54717E-05,6.14923E-05,0.000273329,0.000534438,0.021216411,0
0.000829078,0.000256558,2.10964E-05,0.000602119,0.002498451,0.000675176,5.43267E-05,0.000170942,0.000105851,3.73579E-05,5.07977E-05,0.000256728,0.000677021,0.025805179,0
0.00075396,0.000392004,2.90835E-06,0.000597586,0.000107279,0.000702463,4.1684E-05,7.85702E-05,7.7279E-05,4.16857E-05,6.99915E-05,0.000282168,0.000842216,0.024641543,0
0.000810739,0.000337579,7.41544E-06,0.000633176,0.001120301,0.000788125,4.34841E-05,0.000107257,0.000108181,3.7699E-05,0.000108265,0.000288823,0.000503909,0.022593106,0
0.000855315,0.000612426,1.78575E-05,0.000553712,0.002672129,0.000872975,0.000128222,6.26674E-05,0.000140007,3.09548E-05,3.8247E-05,0.000305176,0.000393178,0.023616167,0
0.000683897,0.00027564,3.44969E-06,0.000379131,5.89902E-05,0.000540848,2.98713E-05,8.35369E-05,0.000102292,4.2759E-05,7.53825E-05,0.00029681,0.000904197,0.026454049,0
0.000918386,0.000412355,8.32331E-06,0.000461554,0.000915935,0.000713596,4.72626E-05,0.000226665,8.85809E-05,3.66193E-05,5.06616E-05,0.000260275,0.000560852,0.019323492,0
0.000947462,0.000158386,5.51275E-06,0.000663171,0.000200012,0.0007494,4.72536E-05,2.68211E-05,0.000158362,5.65171E-05,5.14021E-05,0.000294308,0.000607132,0.023544978,0
0.001063156,0.000526036,7.66249E-06,0.00061789,0.002421189,0.000717264,3.78344E-05,6.42779E-05,0.000128152,3.70112E-05,4.89275E-05,0.000215093,0.000517042,0.020808224,0
0.000872977,0.000334505,1.53588E-05,0.000437232,1.97537E-05,0.000868349,3.47766E-05,0.000105894,0.000102941,5.90402E-05,0.000114108,0.000322724,0.000611766,0.025518994,0
0.001033509,0.000347211,2.70841E-06,0.000570313,0.000103711,0.000677332,9.50273E-05,1.91076E-05,0.000139472,3.43149E-05,8.17671E-05,0.000294678,0.000799846,0.021329043,0
0.00058556,0.000325655,6.72222E-06,0.000494646,6.15002E-05,0.000608713,6.75318E-05,0.000148383,9.76234E-05,4.00882E-05,5.9592E-05,0.000303871,0.000444955,0.023809435,0
0.000859605,0.000536036,6.4672E-06,0.000650181,0.001232362,0.000510495,4.8877E-05,3.11233E-05,8.93009E-05,3.78815E-05,8.74868E-05,0.000265883,0.000754877,0.024191788,0
0.000829912,0.000379938,4.82922E-06,0.000793567,0.000149377,0.000615969,3.01916E-05,7.7914E-05,0.000124583,4.4307E-05,4.02746E-05,0.000313414,0.000722153,0.022898163,0
0.000666879,0.000225719,9.19528E-06,0.000431336,5.65853E-05,0.000636257,4.61744E-05,0.000221196,0.000118135,4.53427E-05,9.59755E-05,0.000244451,0.000436159,0.02274465,0
0.000890114,0.000489562,2.09007E-05,0.00081613,0.000646,0.00075634,3.04567E-05,0.000236369,0.000136329,4.37544E-05,0.000105736,0.000294724,0.000579767,0.024418178,0
0.000843786,0.000333468,1.24996E-05,0.000617083,0.001999389,0.00081266,4.0716E-05,0.000153688,0.000167544,6.4121E-05,0.000104501,0.000291083,0.000777895,0.023628283,0
0.000890695,0.00030724,6.67017E-06,0.000447165,0.001326896,0.000728884,6.19364E-05,1.91418E-05,0.000138883,4.43061E-05,5.4219E-05,0.000241654,0.000731144,0.024525664,0
0.000840233,0.000353913,3.48615E-06,0.00078672,0.000647405,0.000648195,5.21741E-05,6.89085E-05,0.000124586,5.86616E-05,0.000111958,0.000262758,0.000498754,0.025156451,0
0.000688817,0.000414356,4.52581E-06,0.000460434,0.001734334,0.000797143,8.26473E-05,0.000109536,0.000181038,4.16327E-05,6.28073E-05,0.000291934,0.000462701,0.023798864,0
0.00072891,0.000440468,2.19816E-05,0.000587965,0.00261441,0.00061941,9.02433E-05,0.000205265,0.000133819,6.88479E-05,6.87651E-05,0.000270441,0.000577444,0.016016448,0
0.000795138,0.000400581,6.68963E-06,0.000452111,0.001413878,0.000552223,4.57805E-05,5.15245E-05,9.76586E-05,3.2975E-05,9.45048E-05,0.000319401,0.000563531,0.022414712,0
0.000910861,0.000378929,1.57543E-05,0.000458093,0.000553599,0.000747222,2.99228E-05,0.000133006,0.000104971,2.79779E-05,5.03975E-05,0.000303078,0.00042547,0.027719046,0
0.000972089,0.000187044,2.25595E-05,0.000531494,0.002296309,0.000579205,5.99732E-05,0.000117815,0.00012865,5.14111E-05,8.25228E-05,0.000222014,0.000556294,0.022843827,0
0.001055831,0.000369271,7.26921E-06,0.00080417,0.001634126,0.000717955,2.74052E-05,3.59161E-05,9.6866E-05,4.58994E-05,2.77417E-05,0.000260231,0.00083359,0.024020044,0
